STT,Ngày,Mã,"Tham
 chiếu","Mở 
cửa","Đóng
 cửa","Cao
nhất","Thấp
 nhất","Trung
 bình",Thay đổi giá,,GD khớp lệnh,,GD thỏa thuận,,Tổng giao dịch,,"Vốn hóa
 thị trường"
,,,,,,,,,+/-,%,KL,GT,KL,GT,KL,GT,
1,28/05/2026,VIX,"18,350 ","18,250 ","17,600 ","18,600 ","17,600 ","17,898 ",(750),(4.09),"60,299,500 ","1,079,195,950,000 ","9,400,000 ","175,435,000,000 ","69,699,500 ","1,254,630,950,000 ","43,125,064,787,200 "
2,27/05/2026,VIX,"18,650 ","18,700 ","18,350 ","18,900 ","18,350 ","18,596 ",(300),(1.61),"27,774,200 ","516,814,500,000 ","1,455,000 ","26,836,250,000 ","29,229,200 ","543,650,750,000 ","44,962,780,616,200 "
3,26/05/2026,VIX,"18,550 ","18,500 ","18,650 ","18,950 ","18,450 ","18,699 ",100 ,0.54 ,"24,638,100 ","460,895,800,000 ","3,150,000 ","60,795,000,000 ","27,788,100 ","521,690,800,000 ","45,697,866,947,800 "
4,25/05/2026,VIX,"18,550 ","18,650 ","18,550 ","18,850 ","18,400 ","18,621 ",0 ,0.00 ,"20,461,700 ","381,084,770,000 ","1,760,000 ","32,648,000,000 ","22,221,700 ","413,732,770,000 ","45,452,838,170,600 "
5,22/05/2026,VIX,"19,100 ","18,950 ","18,550 ","19,300 ","18,250 ","18,737 ",(550),(2.88),"67,503,200 ","1,267,018,250,000 ","4,800,000 ","93,554,000,000 ","72,303,200 ","1,360,572,250,000 ","45,452,838,170,600 "
6,21/05/2026,VIX,"18,800 ","19,050 ","19,100 ","19,350 ","18,800 ","19,088 ",300 ,1.60 ,"36,978,900 ","705,827,585,000 ","1,460,000 ","27,469,000,000 ","38,438,900 ","733,296,585,000 ","46,800,496,445,200 "
7,20/05/2026,VIX,"19,250 ","19,100 ","18,800 ","19,400 ","18,000 ","18,743 ",(450),(2.34),"50,873,500 ","953,880,590,000 ","7,487,900 ","144,915,470,000 ","58,361,400 ","1,098,796,060,000 ","46,065,410,113,600 "
8,19/05/2026,VIX,"19,000 ","19,250 ","19,250 ","19,800 ","18,850 ","19,307 ",250 ,1.32 ,"62,922,000 ","1,215,710,340,000 ","300,000 ","5,650,950,000 ","63,222,000 ","1,221,361,290,000 ","47,168,039,611,000 "
9,18/05/2026,VIX,"18,750 ","18,400 ","19,000 ","19,000 ","18,250 ","18,558 ",250 ,1.33 ,"44,228,700 ","821,952,715,000 ",0 ,0 ,"44,228,700 ","821,952,715,000 ","46,555,467,668,000 "
10,15/05/2026,VIX,"18,850 ","19,050 ","18,750 ","19,400 ","18,650 ","18,953 ",(100),(0.53),"31,944,500 ","605,790,295,000 ","100,000 ","1,947,000,000 ","32,044,500 ","607,737,295,000 ","45,942,895,725,000 "
11,14/05/2026,VIX,"18,800 ","18,900 ","18,850 ","19,200 ","18,650 ","18,860 ",50 ,0.27 ,"23,964,800 ","452,291,145,000 ","2,000,000 ","36,300,000,000 ","25,964,800 ","488,591,145,000 ","46,187,924,502,200 "
12,13/05/2026,VIX,"19,050 ","19,100 ","18,800 ","19,400 ","18,100 ","18,652 ",(250),(1.31),"67,829,200 ","1,265,921,615,000 ","9,490,185 ","182,647,600,000 ","77,319,385 ","1,448,569,215,000 ","46,065,410,113,600 "
13,12/05/2026,VIX,"19,350 ","19,400 ","19,050 ","19,500 ","18,800 ","19,090 ",(300),(1.55),"38,021,700 ","725,412,420,000 ","643,000 ","11,574,000,000 ","38,664,700 ","736,986,420,000 ","46,677,982,056,600 "
14,11/05/2026,VIX,"18,600 ","18,850 ","19,350 ","19,850 ","18,750 ","19,406 ",750 ,4.03 ,"104,290,200 ","2,024,213,545,000 ","5,167,478 ","98,465,522,700 ","109,457,678 ","2,122,679,067,700 ","29,633,167,752,300 "
15,08/05/2026,VIX,"17,700 ","17,700 ","18,600 ","18,850 ","17,600 ","18,317 ",900 ,5.08 ,"79,495,300 ","1,457,558,265,000 ","4,633,000 ","81,741,450,000 ","84,128,300 ","1,539,299,715,000 ","28,484,595,358,800 "
16,07/05/2026,VIX,"17,600 ","17,900 ","17,700 ","18,450 ","17,700 ","18,050 ",100 ,0.57 ,"56,206,300 ","1,014,018,705,000 ","3,777,078 ","63,786,537,000 ","59,983,378 ","1,077,805,242,000 ","27,106,308,486,600 "
17,06/05/2026,VIX,"16,450 ","16,600 ","17,600 ","17,600 ","16,500 ","17,287 ","1,150 ",6.99 ,"56,148,500 ","972,743,920,000 ","2,610,000 ","45,408,900,000 ","58,758,500 ","1,018,152,820,000 ","26,953,165,500,800 "
18,05/05/2026,VIX,"16,850 ","16,850 ","16,450 ","16,850 ","16,450 ","16,599 ",(400),(2.37),"14,854,800 ","246,392,050,000 ","2,975,878 ","49,306,766,600 ","17,830,678 ","295,698,816,600 ","25,192,021,164,100 "
19,04/05/2026,VIX,"16,700 ","16,850 ","16,850 ","17,100 ","16,750 ","16,908 ",150 ,0.90 ,"15,282,000 ","258,423,745,000 ","3,667,800 ","64,086,540,000 ","18,949,800 ","322,510,285,000 ","25,804,593,107,300 "
20,29/04/2026,VIX,"16,350 ","16,400 ","16,700 ","16,800 ","16,350 ","16,627 ",350 ,2.14 ,"15,745,500 ","261,840,545,000 ","4,903,078 ","80,829,537,000 ","20,648,578 ","342,670,082,000 ","25,574,878,628,600 "
21,28/04/2026,VIX,"16,600 ","16,700 ","16,350 ","16,750 ","16,300 ","16,505 ",(250),(1.51),"16,127,000 ","265,936,495,000 ","5,215,600 ","88,549,210,000 ","21,342,600 ","354,485,705,000 ","25,038,878,178,300 "
22,24/04/2026,VIX,"16,850 ","16,900 ","16,600 ","16,900 ","16,500 ","16,650 ",(250),(1.48),"17,019,900 ","283,288,570,000 ","7,126,678 ","119,974,769,500 ","24,146,578 ","403,263,339,500 ","25,421,735,642,800 "
